,Name,Rating,No. of Reviews,Type of Company
308,Shoppers Stop,4.0,2.9k,Retail 
309,Nokia,4.0,2.9k,Telecom 
310,Shree Cement,3.8,2.9k,Building Material 
311,Apollo Tyres,4.0,2.9k,Auto Components 
312,Fiserv,2.8,2.9k,FinTech 
313,Britannia,4.0,2.9k,Hospitality 
314,Landmark Group,3.8,2.8k,Retail 
315,SRF,4.1,2.8k,Chemicals 
316,Dalmia Bharat Cement,3.9,2.8k,Building Material 
317,Kansai Nerolac Paints,3.8,2.8k,Chemicals 
318,Exl India,3.5,2.8k,Logistics 
319,Blue Dart Express Ltd,3.9,2.8k,Logistics 
320,Physicswallah,3.6,2.8k,EdTech 
321,Nestlé,3.7,2.8k,FMCG 
322,ZS,3.1,2.8k,Management Consulting 
323,UnitedHealth,4.0,2.8k,Healthcare 
324,Exide Industries,3.4,2.8k,Power 
325,Star Health & Allied Insurance,3.5,2.8k,Insurance 
326,Shell,3.9,2.8k,Oil & Gas 
327,Foxconn,3.8,2.8k,Electronics Manufacturing 
328,KPMG Global Services,3.4,2.7k,Management Consulting 
329,Flex,3.9,2.7k,Electronics Manufacturing 
330,Micro Labs,3.6,2.7k,Pharma 
331,TVS Supply Chain Solutions,3.8,2.7k,Logistics 
332,ElasticRun,3.6,2.7k,Logistics 
333,KFintech,3.3,2.7k,Financial Services 
334,Capita,3.5,2.7k,BPO 
